estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,636,8,"(10000000,)","(8,)",1250000,10.598660153470114,6.517801284503166,Compute
1,636,8,"(10000000,)","(16,)",1250000,10.598660153470114,6.517801284503166,Compute
2,636,8,"(10000000,)","(32,)",1250000,10.598660153470114,6.517801284503166,Compute
3,636,8,"(10000000,)","(64,)",1250000,10.598660153470114,6.517801284503166,Compute
4,636,8,"(10000000,)","(128,)",1250000,10.598660153470114,6.517801284503166,Compute
5,636,8,"(10000000,)","(256,)",1250000,10.598660153470114,6.517801284503166,Compute
6,636,8,"(10000000,)","(512,)",1250000,10.598660153470114,6.517801284503166,Compute
7,636,16,"(10000000,)","(8,)",1250000,15.86726073179949,4.353616035555353,Compute
8,636,16,"(10000000,)","(16,)",625000,10.601491212351538,6.516060748304603,Compute
9,636,16,"(10000000,)","(32,)",625000,10.601491212351538,6.516060748304603,Compute
10,636,16,"(10000000,)","(64,)",625000,10.601491212351538,6.516060748304603,Compute
11,636,16,"(10000000,)","(128,)",625000,10.601491212351538,6.516060748304603,Compute
12,636,16,"(10000000,)","(256,)",625000,10.601491212351538,6.516060748304603,Compute
13,636,16,"(10000000,)","(512,)",625000,10.601491212351538,6.516060748304603,Compute
14,636,32,"(10000000,)","(8,)",1250000,26.404461888458233,2.616223010115418,Compute
15,636,32,"(10000000,)","(16,)",625000,15.872922849562336,4.352063033192704,Compute
16,636,32,"(10000000,)","(32,)",312500,10.607153330114386,6.512582463211653,Compute
17,636,32,"(10000000,)","(64,)",312500,10.607153330114386,6.512582463211653,Compute
18,636,32,"(10000000,)","(128,)",312500,10.607153330114386,6.512582463211653,Compute
19,636,32,"(10000000,)","(256,)",312500,10.607153330114386,6.512582463211653,Compute
20,636,32,"(10000000,)","(512,)",312500,10.607153330114386,6.512582463211653,Compute
21,636,8,"(10000000,)","(8,)",1250000,10.598660153470114,6.517801284503166,Compute
22,636,8,"(10000000,)","(16,)",1250000,10.598660153470114,6.517801284503166,Compute
23,636,8,"(10000000,)","(32,)",1250000,10.598660153470114,6.517801284503166,Compute
24,636,8,"(10000000,)","(64,)",1250000,10.598660153470114,6.517801284503166,Compute
25,636,8,"(10000000,)","(128,)",1250000,10.598660153470114,6.517801284503166,Compute
26,636,8,"(10000000,)","(256,)",1250000,10.598660153470114,6.517801284503166,Compute
27,636,8,"(10000000,)","(512,)",1250000,10.598660153470114,6.517801284503166,Compute
28,636,16,"(10000000,)","(8,)",1250000,15.86726073179949,4.353616035555353,Compute
29,636,16,"(10000000,)","(16,)",625000,10.601491212351538,6.516060748304603,Compute
30,636,16,"(10000000,)","(32,)",625000,10.601491212351538,6.516060748304603,Compute
31,636,16,"(10000000,)","(64,)",625000,10.601491212351538,6.516060748304603,Compute
32,636,16,"(10000000,)","(128,)",625000,10.601491212351538,6.516060748304603,Compute
33,636,16,"(10000000,)","(256,)",625000,10.601491212351538,6.516060748304603,Compute
34,636,16,"(10000000,)","(512,)",625000,10.601491212351538,6.516060748304603,Compute
35,636,32,"(10000000,)","(8,)",1250000,26.404461888458233,2.616223010115418,Compute
36,636,32,"(10000000,)","(16,)",625000,15.872922849562336,4.352063033192704,Compute
37,636,32,"(10000000,)","(32,)",312500,10.607153330114386,6.512582463211653,Compute
38,636,32,"(10000000,)","(64,)",312500,10.607153330114386,6.512582463211653,Compute
39,636,32,"(10000000,)","(128,)",312500,10.607153330114386,6.512582463211653,Compute
40,636,32,"(10000000,)","(256,)",312500,10.607153330114386,6.512582463211653,Compute
41,636,32,"(10000000,)","(512,)",312500,10.607153330114386,6.512582463211653,Compute
42,5,8,"(271,)","(8,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
43,5,8,"(271,)","(16,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
44,5,8,"(271,)","(32,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
45,5,8,"(271,)","(64,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
46,5,8,"(271,)","(128,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
47,5,8,"(271,)","(256,)",34,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
48,5,8,"(271,)","(512,)",34,101.73186459266257,0.677958284167481,"Launch_Tax, Trip_Count"
49,5,16,"(271,)","(8,)",34,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
50,5,16,"(271,)","(16,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
51,5,16,"(271,)","(32,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
52,5,16,"(271,)","(64,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
53,5,16,"(271,)","(128,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
54,5,16,"(271,)","(256,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
55,5,16,"(271,)","(512,)",17,116.68555434763901,0.5910753970360304,Trip_Count
56,5,32,"(271,)","(8,)",34,116.68555434763901,0.5910753970360304,Trip_Count
57,5,32,"(271,)","(16,)",17,116.68555434763901,0.5910753970360304,Trip_Count
58,5,32,"(271,)","(32,)",9,116.68555434763901,0.5910753970360304,Trip_Count
59,5,32,"(271,)","(64,)",9,116.68555434763901,0.5910753970360304,Trip_Count
60,5,32,"(271,)","(128,)",9,116.68555434763901,0.5910753970360304,Trip_Count
61,5,32,"(271,)","(256,)",9,116.68555434763901,0.5910753970360304,Trip_Count
62,5,32,"(271,)","(512,)",9,116.68555434763901,0.5910753970360304,Trip_Count
63,5,8,"(271,)","(8,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
64,5,8,"(271,)","(16,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
65,5,8,"(271,)","(32,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
66,5,8,"(271,)","(64,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
67,5,8,"(271,)","(128,)",34,71.82448508270976,0.9602569414173652,"Launch_Tax, Trip_Count"
68,5,8,"(271,)","(256,)",34,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
69,5,8,"(271,)","(512,)",34,101.73186459266257,0.677958284167481,"Launch_Tax, Trip_Count"
70,5,16,"(271,)","(8,)",34,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
71,5,16,"(271,)","(16,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
72,5,16,"(271,)","(32,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
73,5,16,"(271,)","(64,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
74,5,16,"(271,)","(128,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
75,5,16,"(271,)","(256,)",17,86.77817483768618,0.7947846390340033,"Launch_Tax, Trip_Count"
76,5,16,"(271,)","(512,)",17,116.68555434763901,0.5910753970360304,Trip_Count
77,5,32,"(271,)","(8,)",34,116.68555434763901,0.5910753970360304,Trip_Count
78,5,32,"(271,)","(16,)",17,116.68555434763901,0.5910753970360304,Trip_Count
79,5,32,"(271,)","(32,)",9,116.68555434763901,0.5910753970360304,Trip_Count
80,5,32,"(271,)","(64,)",9,116.68555434763901,0.5910753970360304,Trip_Count
81,5,32,"(271,)","(128,)",9,116.68555434763901,0.5910753970360304,Trip_Count
82,5,32,"(271,)","(256,)",9,116.68555434763901,0.5910753970360304,Trip_Count
83,5,32,"(271,)","(512,)",9,116.68555434763901,0.5910753970360304,Trip_Count
