estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,301,8,"(1000000,)","(8,)",125000,1.4026812191075273,4.86924606030276,Compute
1,301,8,"(1000000, 271)","(1, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
2,301,8,"(1000000,)","(16,)",125000,1.4026812191075273,4.86924606030276,Compute
3,301,8,"(1000000, 271)","(1, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
4,301,8,"(1000000,)","(32,)",125000,1.4026812191075273,4.86924606030276,Compute
5,301,8,"(1000000, 271)","(1, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
6,301,8,"(1000000,)","(64,)",125000,1.4026812191075273,4.86924606030276,Compute
7,301,8,"(1000000, 271)","(1, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
8,301,8,"(1000000,)","(128,)",125000,1.4026812191075273,4.86924606030276,Compute
9,301,8,"(1000000, 271)","(1, 128)",34000000,1.4196660127380483,4.810990710996366,Compute
10,301,8,"(1000000,)","(256,)",125000,1.4026812191075273,4.86924606030276,Compute
11,301,8,"(1000000, 271)","(1, 256)",34000000,1.4196660127380483,4.810990710996366,Compute
12,301,8,"(1000000, 271)","(2, 4)",34000000,1.4196660127380483,4.810990710996366,Compute
13,301,8,"(1000000, 271)","(2, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
14,301,8,"(1000000, 271)","(2, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
15,301,8,"(1000000, 271)","(2, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
16,301,8,"(1000000, 271)","(2, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
17,301,8,"(1000000, 271)","(2, 128)",34000000,1.4196660127380483,4.810990710996366,Compute
18,301,8,"(1000000, 271)","(4, 2)",34000000,1.4196660127380483,4.810990710996366,Compute
19,301,8,"(1000000, 271)","(4, 4)",34000000,1.4196660127380483,4.810990710996366,Compute
20,301,8,"(1000000, 271)","(4, 8)",34000000,1.4196660127380483,4.810990710996366,Compute
21,301,8,"(1000000, 271)","(4, 16)",34000000,1.4196660127380483,4.810990710996366,Compute
22,301,8,"(1000000, 271)","(4, 32)",34000000,1.4196660127380483,4.810990710996366,Compute
23,301,8,"(1000000, 271)","(4, 64)",34000000,1.4196660127380483,4.810990710996366,Compute
24,301,8,"(1000000, 271)","(8, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
25,301,8,"(1000000, 271)","(8, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
26,301,8,"(1000000, 271)","(8, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
27,301,8,"(1000000, 271)","(8, 8)",33875000,1.416027778099711,4.8233517065362665,Compute
28,301,8,"(1000000, 271)","(8, 16)",33875000,1.416027778099711,4.8233517065362665,Compute
29,301,8,"(1000000, 271)","(8, 32)",33875000,1.416027778099711,4.8233517065362665,Compute
30,301,8,"(1000000, 271)","(16, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
31,301,8,"(1000000, 271)","(16, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
32,301,8,"(1000000, 271)","(16, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
33,301,8,"(1000000, 271)","(16, 8)",33875000,1.416027778099711,4.8233517065362665,Compute
34,301,8,"(1000000, 271)","(16, 16)",33875000,1.4160408183672317,4.823307288468804,Compute
35,301,8,"(1000000, 271)","(32, 1)",33875000,1.416027778099711,4.8233517065362665,Compute
36,301,8,"(1000000, 271)","(32, 2)",33875000,1.416027778099711,4.8233517065362665,Compute
37,301,8,"(1000000, 271)","(32, 4)",33875000,1.416027778099711,4.8233517065362665,Compute
