region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
301,0,int32,347992697.89746743,338485683.0,495586.6515373353
301,0,int64,0.0,0,0.0
301,0,float32,0.0,0,0.0
301,0,float64,19807842176.141785,19266700216.0,28208931.502196193
5,0,int32,346964610.99342704,337485683.0,494122.5226939971
5,0,int64,0.0,0,0.0
5,0,float32,0.0,0,0.0
5,0,float64,19806833390.541283,19265718990.0,28207494.86090776
149,0,int32,0.0,0,0.0
149,0,int64,0.0,0,0.0
149,0,float32,0.0,0,0.0
149,0,float64,69497661.0194431,67599014.0,98973.66617862372
17,0,int32,0.0,0,0.0
17,0,int64,0.0,0,0.0
17,0,float32,0.0,0,0.0
17,0,float64,69497661.0194431,67599014.0,98973.66617862372
6,0,int32,277990644.0777724,270396056.0,395894.6647144949
6,0,int64,0.0,0,0.0
6,0,float32,0.0,0,0.0
6,0,float64,19042359119.327408,18522129836.0,27118784.5329429
237,0,int32,0.0,0,0.0
237,0,int64,0.0,0,0.0
237,0,float32,0.0,0,0.0
237,0,float64,69497661.0194431,67599014.0,98973.66617862372
241,0,int32,0.0,0,0.0
241,0,int64,0.0,0,0.0
241,0,float32,0.0,0,0.0
241,0,float64,0.0,0,0.0
156,0,int32,0.0,0,0.0
156,0,int64,0.0,0,0.0
156,0,float32,0.0,0,0.0
156,0,float64,69497661.0194431,67599014.0,98973.66617862372
299,0,int32,121620906.78402542,118298274.5,173203.9158125915
299,0,int64,0.0,0,0.0
299,0,float32,0.0,0,0.0
299,0,float64,7279879991.786664,7080996716.5,10367491.532210834
298,0,int32,86872076.27430387,84498767.5,123717.08272327964
298,0,int64,0.0,0,0.0
298,0,float32,0.0,0,0.0
298,0,float64,11275995500.404642,10967940021.5,16058477.337481698
